user_id,money_spent
-Beave-,18190.899999999998
-PRoSlayeR-,3418.15
-SEVEN-,10102.72
-Ultrix,8031.96
-Zovix-,13326.11
00True,13326.11
01189958889189157253,989.34
05041129,1647.49
0700464574757,7524.9800000000005
07846813956825,4291.400000000001
08254669696969696969,13326.11
0903512455,14632.679999999998
091263,4291.400000000001
095732,0.0
09879655452567,23005.940000000002
10000000thVisitor,8575.71
1011001,7472.52
10Degree,22277.15
112367263762,13326.11
11XGX,9713.52
12223536,12873.56
1234148932401,4215.78
12345678901234567890123456567890,15377.99
1234567io9872345678765432,53372.29
123joshua321,650.43
1263512533427542734,13326.11
12779,26317.89
12DeAgostoAs12HRSe26MIN,0.0
131312,14686.279999999999
1321742413,7332.66
1337lolroflmao,26513.370000000003
1337putin,13326.11
135781,5297.349999999999
13971397,8331.66
1626466724893520,18190.899999999998
17101710,10253.16
171516,5864.13
17829463213,0.0
1800-Ricohut,10294.849999999999
18228272828,21658.81
1873410337,2939.11
1875489156748,4291.400000000001
19-20-5-20-27-5-18,0.0
194847383,20783.12
1956aa1,14972.509999999998
1epicninja,56870.96
1iam1iam1iam,7652.34
1snap,14812.589999999998
211011374,24715.88
225544,1465.1000000000001
23434454365463446754546576e45646,0.0
24453,26513.370000000003
246823,0.0
2479742,8321.67
2547887,3476.52
2571,21658.81
2768820078,33498.15
2828838282,14972.509999999998
2910463,0.0
2EzRogueDH,8895.55
2edgy4youboi,9911.37
2ez2xl,3218.55
2ik4tf,8951.04
2sBs,52576.19
2slippy,0.0
2spooky,33561.55
2v1meyoucheekyscrub,13326.11
2xDelorean,8321.67
3197,3439.08
334756875,9066.96
3546873516354,26513.370000000003
37755753,41313.28
3eBpA,3757.4700000000003
3teGZ_Rorschach,7042.95
3th3,0.0
420NigelGaming420,7616.19
42456,4546.31
45514551,0.0
47332585890115903727,0.0
4RCH4NG3Ll,928.14
4_5C12U13,6565.62
4tiles,11895.24
51134243,18323.89
5400540054005400,10119.210000000001
54263144,13326.11
544183980,6776.61
55432147,42952.840000000004
5678LetMeCyaBootyShake,5864.13
58254410,8911.08
5856565456564,8911.08
5975,7522.47
63Hayden,0.0
66083299,13326.11
66655493948,21212.86
666_pl_Satan_pl_666,14877.859999999999
66d,0.0
6738497298564377854673421,9368.75
678rtv45,34309.86
694201337694201337,13326.11
6dighero,24473.88
711armageddoncarmageddon,29529.5
723943123,42451.3
750805,259.8
7515953,0.0
76561197960461312,18236.96
76561197963436918,0.0
76561197964317648,8875.56
76561197965205416,29507.19
76561197965224231,18190.899999999998
76561197965557728,8321.67
76561197966587792,8469.35
76561197966979423,8831.16
76561197967445425,12475.84
76561197968167449,17471.26
76561197968819806,0.0
76561197968887720,12544.98
76561197969812413,23794.14
76561197970519408,11096.3
76561197970523542,0.0
76561197970565267,27522.940000000002
76561197970600478,1212.5700000000002
76561197970725078,9735.13
76561197970814132,10294.849999999999
76561197970989261,5657.169999999999
76561197971285616,463.67
76561197971591275,21382.87
76561197971851704,0.0
76561197971860091,319.68
76561197972059969,24873.780000000002
76561197972209961,20491.8
76561197972261430,18236.96
76561197972911511,34708.979999999996
76561197973688926,7652.34
76561197975867686,6340.77
76561197976177356,22606.899999999998
76561197976984468,9055.47
76561197977051585,7527.49
76561197977705860,17835.54
76561197978409306,3303.38
76561197979731785,21874.530000000002
76561197980311109,0.0
76561197980614542,13326.11
76561197981203305,679.32
76561197981425218,21658.81
76561197981959164,33714.380000000005
76561197982124018,95.84
76561197982203533,510.72
76561197983046427,1478.52
76561197983745201,9711.99
76561197983875214,20545.89
76561197985031488,1139.4299999999998
76561197985512782,0.0
76561197986214624,142.89000000000001
76561197986552181,569.4300000000001
76561197986709258,278.07
76561197986717785,0.0
76561197987394736,10123.75
76561197988367411,26513.370000000003
76561197988397124,0.0
76561197989689547,84.83
76561197989723505,363.72
765611979902442O1,5894.1
76561197991548126,18323.89
76561197991872030,9698.53
76561197992681922,13074.449999999999
76561197992809369,21382.87
76561197993274093,6040.97
76561197993872196,13326.11
76561197994404698,13413.289999999999
76561197994405541,13413.289999999999
76561197994493402,20545.89
76561197995247965,4291.400000000001
76561197995338574,17617.510000000002
76561197995483380,26275.620000000003
76561197995905411,2878.56
76561197995939652,34144.93
76561197996156672,8291.94
76561197996569986,6433.56
76561197996744185,10208.19
76561197996802983,33714.380000000005
76561197998873955,0.0
76561197999426881,12544.98
76561197999483873,185.38000000000002
76561198000889832,0.0
76561198001160024,41123.1
76561198001296435,10520.789999999999
76561198002127153,5185.51
76561198002151678,42839.54
76561198002311337,14172.909999999998
76561198003056556,211.85999999999999
76561198003546877,18323.89
76561198004203858,14972.509999999998
76561198004239988,2287.3500000000004
76561198004448633,259.87
76561198004901938,13326.11
76561198005821848,2126.4500000000003
76561198005999162,14972.509999999998
76561198006158702,2553.87
76561198006225175,109.89
76561198006527232,167.44
76561198006532480,508.98
76561198006560154,12544.98
76561198006679831,18955.260000000002
76561198006896411,53396.21
76561198006980747,1439.52
76561198007070577,20491.8
76561198007338267,26527.300000000003
76561198007342405,0.0
76561198007570632,24715.88
76561198007575596,0.0
76561198007767871,14632.679999999998
76561198007988877,0.0
76561198008825050,3719.79
76561198008967901,0.0
76561198009389816,16371.81
76561198010391123,27595.4
76561198010436866,46460.28
76561198010653835,0.0
76561198011004336,11482.34
76561198011493875,8135.929999999999
76561198011923340,508.98
76561198012546232,3372.6
76561198012741239,41033.16
76561198013296434,10520.789999999999
76561198013490617,0.0
76561198013535175,0.0
76561198013564709,43369.92
76561198013600577,211.85999999999999
76561198014078033,14212.89
76561198014210785,329.67
76561198014421677,2475.04
76561198015275299,8911.08
76561198015803033,0.0
76561198015882376,8951.04
76561198015930046,33714.380000000005
76561198015968275,11214.39
76561198016067437,21658.81
76561198016610271,14772.609999999999
76561198016684317,650.43
76561198016761464,17370.66
76561198017212077,9593.6
76561198017444547,27595.4
76561198017659661,35103.18
76561198018456402,2884.2200000000003
76561198018469813,0.0
76561198018552349,52711.61
76561198018589800,13693.15
76561198018739984,0.0
76561198018834500,6776.61
76561198018912053,21592.8
76561198019159115,41033.16
76561198019160833,24036.879999999997
76561198019231133,0.0
76561198019548281,10442.88
76561198019669521,553.89
76561198019923966,7075.28
76561198019938571,17835.54
76561198020246111,7632.360000000001
76561198020829624,0.0
76561198020940001,29.97
76561198021193389,11420.429999999998
76561198021700114,21658.81
76561198022115367,13326.11
76561198022149086,6401.65
76561198022316167,0.0
76561198022316719,13326.11
76561198022404680,16331.829999999998
76561198022460178,26151.28
76561198022611161,26275.620000000003
76561198022862450,13326.11
76561198023147569,21382.87
76561198023475537,24823.12
76561198023478539,38038.28
76561198023508728,7792.2
76561198023519729,559.7199999999999
76561198023971448,3786.21
76561198024300582,39384.659999999996
76561198024310116,650.43
76561198024507582,11597.1
76561198024527983,34652.66
76561198024531364,27595.4
76561198024559706,31494.75
76561198024671805,7816.089999999999
76561198024826675,8034.64
76561198025055099,8951.04
76561198025343046,7042.95
76561198025409181,58132.74
76561198025475753,16044.65
76561198025489159,12453.769999999999
76561198025503374,13253.369999999999
76561198025628522,38502.27
76561198025732569,0.0
76561198026200381,18190.899999999998
76561198026203679,4291.400000000001
76561198026239418,23637.399999999998
76561198026432339,5474.52
76561198026497579,41033.16
76561198026498963,0.0
76561198026516913,21658.81
76561198026549931,41033.16
76561198026783871,6433.56
76561198026999637,13326.11
76561198027193755,0.0
76561198027254626,14972.509999999998
76561198027331790,6984.929999999999
76561198027401742,1109.26
76561198027533076,25944.81
76561198027555735,0.0
76561198027620293,21657.77
76561198027720165,3331.32
76561198027755721,3162.89
76561198027828967,22196.3
76561198027947401,1408.47
76561198028072716,41033.16
76561198028172459,14412.789999999999
76561198028173029,4377.8099999999995
76561198028286104,12813.589999999998
76561198028290577,619.6899999999999
76561198028388756,5514.4800000000005
76561198028390064,19073.64
76561198028617374,4291.400000000001
76561198028619650,6876.5599999999995
76561198028908163,8775.609999999999
76561198029229660,13326.11
76561198029596731,49441.1
76561198029634836,43376.89
76561198029846088,650.43
76561198030021498,26992.890000000003
76561198030053959,18323.89
76561198030079998,60193.380000000005
76561198030206184,16471.76
76561198030388123,14052.97
76561198030567998,3419.7200000000003
76561198030636321,19073.64
76561198030735076,0.0
76561198030777156,699.65
76561198030867375,1508.49
76561198031290502,40250.82
76561198031394484,22196.3
76561198031776309,13326.11
76561198031938463,15132.429999999998
76561198032360764,41033.16
76561198032421615,4291.400000000001
76561198032576956,4546.31
76561198032586095,0.0
76561198032651953,4038.9900000000002
76561198032750680,3419.7200000000003
76561198032898039,10520.789999999999
76561198033266228,692.01
76561198033327402,21382.87
76561198033429149,0.0
76561198033432863,0.0
76561198033884763,8135.929999999999
76561198033945314,369.26
76561198033982370,10294.849999999999
76561198033992409,13015.66
76561198034028284,26513.370000000003
76561198034089533,21658.81
76561198034277356,1999.14
76561198034664008,0.0
76561198034779239,10874.56
76561198034784208,9.95
76561198034823626,3867.1600000000003
76561198034842509,15132.429999999998
76561198034857562,11420.429999999998
76561198035062661,8555.72
76561198035136974,40481.85
76561198035251057,0.0
76561198035531441,6535.64
76561198035538775,3522.96
76561198035588684,8911.08
76561198035590106,271.26
76561198035607937,16044.65
76561198035704817,12711.52
76561198035781832,8911.08
76561198035790591,32491.15
76561198035811518,15132.429999999998
76561198036037520,13326.11
76561198036077253,800.91
76561198036142900,36448.0
76561198036292321,279.72
76561198036513236,0.0
76561198036742033,4291.400000000001
76561198036810976,21938.399999999998
76561198036848944,0.0
76561198036909594,27595.4
76561198036921706,18323.89
76561198037086921,1736.52
76561198037228389,10589.4
76561198037342853,13326.11
76561198037738584,13326.11
76561198037916571,11347.73
76561198038098665,13326.11
76561198038296985,2025.94
76561198038335264,577.66
76561198038567931,11467.17
76561198038573915,41033.16
76561198038612836,21382.87
76561198038676500,0.0
