user_id,money_spent,percentage_reviews,items_count
-Beave-,18190.899999999998,100.0,575695.0
-PRoSlayeR-,3418.15,100.0,415276.0
-SEVEN-,10102.72,99.43181818181817,261937.0
-Ultrix,8031.96,100.0,483346.0
-Zovix-,13326.11,100.0,552941.0
00True,13326.11,100.0,552941.0
01189958889189157253,989.34,0.0,12661.0
05041129,1647.49,100.0,290820.0
0700464574757,7524.9800000000005,100.0,224596.0
07846813956825,4291.400000000001,0.0,526865.0
08254669696969696969,13326.11,100.0,552941.0
0903512455,14632.679999999998,100.0,420574.0
091263,4291.400000000001,100.0,526865.0
095732,0.0,56.91347011596789,542719.0
09879655452567,23005.940000000002,100.0,1406504.0
10000000thVisitor,8575.71,100.0,173446.0
1011001,7472.52,100.0,406065.0
10Degree,22277.15,100.0,1110583.0
112367263762,13326.11,100.0,864162.0
11XGX,9713.52,0.0,325679.0
12223536,12873.56,0.0,372573.0
1234148932401,4215.78,100.0,222033.0
12345678901234567890123456567890,15377.99,100.0,531622.0
1234567io9872345678765432,53372.29,84.98975409836066,2167032.0
123joshua321,650.43,100.0,398385.0
1263512533427542734,13326.11,0.0,552941.0
12779,26317.89,100.0,629931.0
12DeAgostoAs12HRSe26MIN,0.0,100.0,461411.0
131312,14686.279999999999,100.0,690751.0
1321742413,7332.66,0.0,421950.0
1337lolroflmao,26513.370000000003,100.0,317886.0
1337putin,13326.11,100.0,552941.0
135781,5297.349999999999,100.0,92620.0
13971397,8331.66,100.0,473388.0
1626466724893520,18190.899999999998,100.0,575695.0
17101710,10253.16,100.0,365370.0
171516,5864.13,100.0,242933.0
17829463213,0.0,100.0,455434.0
1800-Ricohut,10294.849999999999,50.289575289575296,470604.0
18228272828,21658.81,100.0,250332.0
1873410337,2939.11,100.0,720090.0
1875489156748,4291.400000000001,100.0,526865.0
19-20-5-20-27-5-18,0.0,100.0,461411.0
194847383,20783.12,100.0,1021900.0
1956aa1,14972.509999999998,49.53703703703704,884962.0
1epicninja,56870.96,100.0,1386684.0
1iam1iam1iam,7652.34,100.0,418936.0
1snap,14812.589999999998,100.0,425941.0
211011374,24715.88,100.0,153709.0
225544,1465.1000000000001,100.0,286546.0
23434454365463446754546576e45646,0.0,100.0,417813.0
24453,26513.370000000003,0.0,317886.0
246823,0.0,100.0,395263.0
2479742,8321.67,100.0,482070.0
2547887,3476.52,0.0,263697.0
2571,21658.81,100.0,250332.0
2768820078,33498.15,47.240356083086056,858598.0
2828838282,14972.509999999998,100.0,413742.0
2910463,0.0,0.0,332771.0
2EzRogueDH,8895.55,100.0,497373.0
2edgy4youboi,9911.37,100.0,458377.0
2ez2xl,3218.55,100.0,373614.0
2ik4tf,8951.04,100.0,557642.0
2sBs,52576.19,100.0,1212610.0
2slippy,0.0,100.0,99360.0
2spooky,33561.55,51.36094674556213,343921.0
2v1meyoucheekyscrub,13326.11,100.0,552941.0
2xDelorean,8321.67,100.0,482070.0
3197,3439.08,0.0,280086.0
334756875,9066.96,100.0,195486.0
3546873516354,26513.370000000003,0.0,317886.0
37755753,41313.28,71.4331619537275,1733335.0
3eBpA,3757.4700000000003,100.0,439250.0
3teGZ_Rorschach,7042.95,100.0,389598.0
3th3,0.0,0.0,262729.0
420NigelGaming420,7616.19,100.0,196420.0
42456,4546.31,100.0,633831.0
45514551,0.0,100.0,455434.0
47332585890115903727,0.0,0.0,136072.0
4RCH4NG3Ll,928.14,100.0,47060.0
4_5C12U13,6565.62,100.0,132957.0
4tiles,11895.24,100.0,190306.0
51134243,18323.89,100.0,264727.0
5400540054005400,10119.210000000001,100.0,891213.0
54263144,13326.11,100.0,552941.0
544183980,6776.61,100.0,89976.0
55432147,42952.840000000004,0.0,371910.0
5678LetMeCyaBootyShake,5864.13,42.62890341321714,698367.0
58254410,8911.08,100.0,555731.0
5856565456564,8911.08,100.0,555731.0
5975,7522.47,100.0,414770.0
63Hayden,0.0,100.0,384884.0
66083299,13326.11,100.0,552941.0
66655493948,21212.86,100.0,1046266.0
666_pl_Satan_pl_666,14877.859999999999,100.0,536284.0
66d,0.0,100.0,177062.0
6738497298564377854673421,9368.75,100.0,272047.0
678rtv45,34309.86,100.0,1011187.0
694201337694201337,13326.11,100.0,552941.0
6dighero,24473.88,100.0,280916.0
711armageddoncarmageddon,29529.5,100.0,1563509.0
723943123,42451.3,100.0,1340832.0
750805,259.8,0.0,11638.0
7515953,0.0,100.0,395263.0
76561197960461312,18236.96,100.0,113767.0
76561197963436918,0.0,100.0,92032.0
76561197964317648,8875.56,100.0,210391.0
76561197965205416,29507.19,100.0,1072627.0
76561197965224231,18190.899999999998,100.0,575695.0
76561197965557728,8321.67,100.0,482070.0
76561197966587792,8469.35,100.0,306668.0
76561197966979423,8831.16,0.0,545779.0
76561197967445425,12475.84,100.0,152800.0
76561197968167449,17471.26,100.0,534606.0
76561197968819806,0.0,100.0,252717.0
76561197968887720,12544.98,0.0,184585.0
76561197969812413,23794.14,100.0,926947.0
76561197970519408,11096.3,0.0,106852.0
76561197970523542,0.0,0.0,166237.0
76561197970565267,27522.940000000002,0.0,493265.0
76561197970600478,1212.5700000000002,100.0,322886.0
76561197970725078,9735.13,0.0,232495.0
76561197970814132,10294.849999999999,100.0,225285.0
76561197970989261,5657.169999999999,100.0,96401.0
76561197971285616,463.67,100.0,168196.0
76561197971591275,21382.87,100.0,343344.0
76561197971851704,0.0,100.0,181694.0
76561197971860091,319.68,0.0,66761.0
76561197972059969,24873.780000000002,100.0,295493.0
76561197972209961,20491.8,100.0,495473.0
76561197972261430,18236.96,100.0,113767.0
76561197972911511,34708.979999999996,100.0,896285.0
76561197973688926,7652.34,100.0,880347.0
76561197975867686,6340.77,100.0,173181.0
76561197976177356,22606.899999999998,63.664122137404576,685584.0
76561197976984468,9055.47,0.0,228038.0
76561197977051585,7527.49,0.0,128494.0
76561197977705860,17835.54,100.0,155064.0
76561197978409306,3303.38,100.0,409254.0
76561197979731785,21874.530000000002,100.0,231525.0
76561197980311109,0.0,100.0,455101.0
76561197980614542,13326.11,100.0,552941.0
76561197981203305,679.32,0.0,87170.0
76561197981425218,21658.81,0.0,250332.0
76561197981959164,33714.380000000005,100.0,252103.0
76561197982124018,95.84,100.0,7522.0
76561197982203533,510.72,100.0,152201.0
76561197983046427,1478.52,100.0,108441.0
76561197983745201,9711.99,100.0,1049943.0
76561197983875214,20545.89,100.0,131303.0
76561197985031488,1139.4299999999998,100.0,105057.0
76561197985512782,0.0,100.0,91916.0
76561197986214624,142.89000000000001,100.0,3052.0
76561197986552181,569.4300000000001,100.0,119632.0
76561197986709258,278.07,0.0,132140.0
76561197986717785,0.0,0.0,306099.0
76561197987394736,10123.75,0.0,299359.0
76561197988367411,26513.370000000003,0.0,317886.0
76561197988397124,0.0,100.0,92033.0
76561197989689547,84.83,0.0,51743.0
76561197989723505,363.72,100.0,15288.0
765611979902442O1,5894.1,100.0,381498.0
76561197991548126,18323.89,0.0,264727.0
76561197991872030,9698.53,0.0,353404.0
76561197992681922,13074.449999999999,100.0,282909.0
76561197992809369,21382.87,100.0,343344.0
76561197993274093,6040.97,100.0,152680.0
76561197993872196,13326.11,100.0,552941.0
76561197994404698,13413.289999999999,100.0,367933.0
76561197994405541,13413.289999999999,100.0,367933.0
76561197994493402,20545.89,100.0,131303.0
76561197995247965,4291.400000000001,100.0,526865.0
76561197995338574,17617.510000000002,100.0,1079806.0
76561197995483380,26275.620000000003,100.0,128148.0
76561197995905411,2878.56,100.0,59925.0
76561197995939652,34144.93,100.0,1935606.0
76561197996156672,8291.94,100.0,443712.0
76561197996569986,6433.56,100.0,309449.0
76561197996744185,10208.19,0.0,393454.0
76561197996802983,33714.380000000005,100.0,252103.0
76561197998873955,0.0,100.0,328236.0
76561197999426881,12544.98,0.0,184585.0
76561197999483873,185.38000000000002,0.0,208872.0
76561198000889832,0.0,100.0,417813.0
